,term,sum_weights
2710,respectfully,5.026584264014425
1573,guidelines,5.019207751615869
1692,impact,5.014088366927712
2556,recovery,5.012976491223447
1034,dealership,5.012617966855338
1284,enforcement,4.99934069529584
2252,outstanding,4.996584322217058
96,230,4.978984039011717
2989,strongly,4.97179584782995
880,confirm,4.963269737983021
2905,somebody,4.950678753860548
1210,dollars,4.9496865272653405
1546,giving,4.942303590353945
31,150,4.93436630453141
1799,investigating,4.928334764849907
638,bk,4.925019526724961
2969,step,4.914407183103766
2401,preventing,4.906898924025608
1469,follows,4.902926995343179
1511,fully,4.899400911382256
190,5000,4.897158649731403
66,190,4.8861055992433355
2369,possibly,4.877956560798464
637,birthday,4.860164387510865
1619,higher,4.859352604699101
108,260,4.8558530047998545
1299,entity,4.846385494505679
92,2200,4.834997700877267
1192,distressed,4.832949977119848
1625,hindering,4.828394337259814
14,110,4.820367947066943
869,concerning,4.817716247016187
629,better,4.814903015944358
3022,suit,4.814412370426181
384,adding,4.810898889885486
2065,misleading,4.789058109225659
2371,postal,4.788714525016009
1068,default,4.7732591440748475
1963,lot,4.769955005177331
1057,declined,4.766008959627882
1603,health,4.76408443761844
2314,permissible,4.762635655628845
61,18,4.7625380855517765
2129,necessary,4.746412419238783
1120,description,4.739852433579381
1037,dear,4.734702341055131
1229,drop,4.724322762552276
58,170,4.722329580212523
2738,return,4.717990884021213
818,comes,4.717412676470048
2161,noted,4.712831509801315
3016,suffered,4.7119416515378685
1282,ending,4.701636423141082
2366,possession,4.6882612955148435
1498,free,4.6859923933064715
881,confirmation,4.680469238347809
2707,resolving,4.661317547870174
3013,sue,4.658249394372231
1775,installment,4.657832510219049
287,850,4.650988964930454
113,2700,4.640947327343768
497,applying,4.636828127124372
3328,week,4.634528086660684
992,created,4.632174882056247
1743,ineligible,4.621979286436026
2444,prompt,4.614322493592513
148,370,4.6074300546622995
